data_source,timestamp,station_id,temperature,humidity,wind_speed,wind_deg,pressure,rainfall,pbl_height,temp_gradient,pm25,pm10,no2,so2,co,o3,hour_sin,hour_cos,month,is_winter,pm25_lag_1h,pm25_lag_3h,pm25_lag_6h,pm25_lag_24h,pm25_roll_mean_6h,pm25_roll_mean_24h,pm25_roll_std_24h,pm25_target,pm25_x_humidity,pm25_x_temp,pm25_x_wind_speed,pm25_div_pbl,ventilation_coeff,stagnation_indicator,inversion_indicator,lagged_pm25_coupling,dispersion_status,pollution_risk_level
DEMO_SYNTHETIC,2025-10-02 00:00:00,Anand_Vihar,24.78,58.81,1.91,282.9,1009.96,0.0,408.1,-1.05,90.8,173.03,17.98,8.79,0.92,19.83,0.0,1.0,10,0,56.23,104.27,30.33,58.04,81.71833333333333,50.99791666666667,35.0745768178217,40.48,5339.948,2250.024,173.428,0.2224944811934702,779.471,0,0,0.0721386674791151,SEVERE TRAPPING,MODERATE
DEMO_SYNTHETIC,2025-10-02 01:00:00,Anand_Vihar,24.29,67.76,2.69,302.4,1009.38,0.0,456.9,-0.68,51.38,101.81,20.32,7.79,0.76,14.77,0.25881904510252074,0.9659258262890683,10,0,90.8,69.88,50.52,107.8,81.86166666666666,48.647083333333335,32.9269493799686,27.0,3481.5088000000005,1248.0202,138.2122,0.1124534884558221,1229.061,0,0,0.0738775368034822,POOR DISPERSION,LOW
DEMO_SYNTHETIC,2025-10-02 02:00:00,Anand_Vihar,22.99,62.9,2.27,325.8,1008.55,0.0,408.5,-0.24,80.36,125.99,22.94,11.76,0.91,17.47,0.49999999999999994,0.8660254037844387,10,0,51.38,56.23,118.61,82.02,75.48666666666666,48.577916666666674,32.85546384038227,16.05,5054.644,1847.4763999999998,182.4172,0.19671970142669032,927.295,0,0,0.05540847243424723,POOR DISPERSION,MODERATE
DEMO_SYNTHETIC,2025-10-02 03:00:00,Anand_Vihar,24.12,63.33,2.55,257.2,1011.08,0.0,406.9,-0.72,45.48,59.01,17.82,7.94,0.43,20.49,0.7071067811865476,0.7071067811865476,10,0,80.36,90.8,104.27,81.66,65.68833333333333,47.07041666666667,32.09273661277738,17.46,2880.2484,1096.9776,115.97399999999999,0.11177193138923737,1037.5949999999998,0,0,0.07744832928600921,POOR DISPERSION,LOW
DEMO_SYNTHETIC,2025-10-02 04:00:00,Anand_Vihar,23.52,61.82,2.66,265.8,1010.43,0.0,361.6,-0.42,72.74,107.6,17.49,10.61,0.78,22.61,0.8660254037844386,0.5000000000000001,10,0,45.48,51.38,69.88,81.78,66.165,46.69375,31.718512878745287,29.68,4496.7868,1710.8447999999999,193.48839999999998,0.2011614988616842,961.8560000000001,0,0,0.047283584577279915,POOR DISPERSION,MODERATE
DEMO_SYNTHETIC,2025-10-02 05:00:00,Anand_Vihar,26.99,59.72,2.22,316.1,1011.09,0.0,389.2,-0.9,64.19,114.13,19.33,10.43,0.82,18.3,0.9659258262890683,0.25881904510252074,10,0,72.74,80.36,56.23,76.14,67.49166666666667,46.195833333333326,31.327554466325328,18.06,3833.4267999999997,1732.4880999999998,142.5018,0.16492805331633986,864.024,0,0,0.08418747529944219,POOR DISPERSION,MODERATE
DEMO_SYNTHETIC,2025-10-02 06:00:00,Anand_Vihar,28.95,50.17,2.89,299.6,1010.64,0.0,409.6,-0.81,40.48,64.76,15.2,6.77,0.31,19.95,1.0,6.123233995736766e-17,10,0,64.19,45.48,90.8,57.43,59.105,45.489583333333336,31.2542544553213,10.0,2030.8816,1171.896,116.9872,0.09882812258720403,1183.7440000000001,0,0,0.05422625116388128,POOR DISPERSION,LOW
DEMO_SYNTHETIC,2025-10-02 07:00:00,Anand_Vihar,29.34,49.16,2.79,275.4,1010.4,0.0,979.6,-0.97,27.0,39.32,33.18,7.25,0.21,18.86,0.9659258262890683,-0.25881904510252063,10,0,40.48,72.74,51.38,30.83,55.041666666666664,45.32999999999999,31.342015001397503,22.98,1327.32,792.18,75.33,0.02756227003305155,2733.0840000000003,0,0,0.014811107105339213,GOOD DISPERSION,LOW
DEMO_SYNTHETIC,2025-10-02 08:00:00,Anand_Vihar,29.87,44.23,3.24,281.6,1010.46,0.0,1148.4,-1.49,16.05,38.74,25.15,4.19,0.2,38.7,0.8660254037844387,-0.4999999999999998,10,0,27.0,64.19,80.36,37.59,44.32333333333333,44.4325,31.877129903263956,10.0,709.8915,479.41350000000006,52.002,0.013975966440473995,3720.8160000000007,0,0,0.007256472754211782,GOOD DISPERSION,LOW
DEMO_SYNTHETIC,2025-10-02 09:00:00,Anand_Vihar,30.39,40.1,3.12,259.8,1010.16,0.0,1295.3,-0.81,17.46,19.9,29.34,8.17,0.2,56.78,0.7071067811865476,-0.7071067811865475,10,0,16.05,40.48,45.48,33.73,39.653333333333336,43.75458333333333,32.2850247933279,10.0,700.1460000000001,530.6094,54.47520000000001,0.013479502713815313,4041.336,0,0,0.003971458933453049,GOOD DISPERSION,LOW
DEMO_SYNTHETIC,2025-10-02 10:00:00,Anand_Vihar,33.09,31.99,3.36,289.0,1011.27,0.0,1402.4,-1.21,29.68,64.34,21.1,6.2,0.28,67.07,0.49999999999999994,-0.8660254037844387,10,0,17.46,27.0,72.74,12.23,32.47666666666667,44.48166666666666,31.73602529380885,13.75,949.4631999999999,982.1112,99.7248,0.02116371918736652,4712.064,0,0,0.003705382601540678,GOOD DISPERSION,LOW
DEMO_SYNTHETIC,2025-10-02 11:00:00,Anand_Vihar,33.69,28.67,3.1,285.2,1009.31,0.0,1457.0,-0.59,18.06,29.91,12.32,7.96,0.24,75.39,0.258819045102521,-0.9659258262890682,10,0,29.68,16.05,64.19,18.91,24.78833333333333,44.44624999999999,31.76626332016542,18.08,517.7802,608.4413999999999,55.986,0.012395332790697784,4516.7,0,0,0.006571169201914741,GOOD DISPERSION,LOW
